Code;Name;Explanation;GAL-TAN/LEFT-RIGHT;Note
407;Protectionism: Negative;Support for the concept of free trade and open markets. Call for abolishing all means of  market protection (in the manifesto or any other country).;RIGHT;"RIGHT stands for free market and opposes government intervention
Could also be GAL, given the collaboration with international partners; here only the economic issue"
408;Economic Goals;Broad economic goals, such as prosperity, that are not tied to a specific policy instrument or another category.;NEUTRAL;Economic goals is used here in a general sense so it cannot be specified
409;Keynesian Demand Management: Positive;"Favourable mentions of demand side oriented economic policies (assistance to consumers rather than businesses). Particularly includes increasing private demand  through: - Increasing public demand;  - Increasing social expenditures.  May also include:  - Stabilisation in the face of depression;  - Government stimulus plans in the face of economic crises. ";LEFT;LEFT refers to targeted government intervention in the economy
410;Economic Growth: Positive;"The paradigm of economic growth. Includes:  - General need to encourage or facilitate greater production;  - Need for the government to take measures to aid economic growth. ";NEUTRAL;LEFT, RIGHT, and TAN are all in favor of growth.
411;Technology and Infrastructure: Positive;"Importance of modernisation of industry and updated methods of transport and  communication. May include:  - Importance of science and technological developments in industry;  - Need for training and research within the economy  - Calls for public spending on infrastructure such as roads and bridges;  - Support for public spending on technological infrastructure (e.g.: broadband  internet, etc.). ";NEUTRAL;In this category, there are no discernible differences of opinion among the parties.
412;Controlled Economy: Positive;"Support for direct government control of economy. May include, for instance:  - Control over prices;  - Introduction of minimum wages. ";LEFT;LEFT refers to targeted government intervention in the economy
413;Nationalisation: Positive;Favourable mentions of government ownership of industries, either partial or complete.  May also include favourable mentions of government ownership of land.;LEFT;LEFT refers to targeted government intervention in the economy
414;Economic Orthodoxy: Positive;"Need for economically healthy government policy making. May include calls for:  - Reduction of budget deficits;  - Retrenchment in crisis;  - Thrift and savings in the face of economic hardship;  - Support for traditional economic institutions such as stock market and banking system;  - Support for strong currency.";RIGHT;RIGHT stands for the free market
415;Marxist Analysis: Positive;Positive references to Marxist-Leninist ideology and specific use of Marxist-Leninist  terminology by the manifesto party (typically but not necessary by communist parties).  Note: If unsure about what constitutes Marxist-Leninist ideology in general or terminology  in a particular language, please research.;LEFT;LEFT refers to targeted government intervention in the economy
416;Anti-Growth Economy: Positive;Favourable mentions of anti-growth politics. Rejection of the idea that all growth is  good growth. Opposition to growth that causes environmental or societal harm. Call for  sustainable economic development.;GAL;GAL Advocates for Post-Materialist Values
501;Environmental Protection: Positive;"General policies in favour of protecting the environment, fighting climate change, and  other ""green"" policies. For instance:  - General preservation of natural resources;  - Preservation of countryside, forests, etc.;  - Protection of national parks;  - Animal rights.  May include a great variance of policies that have the unified goal of environmental  protection. ";GAL;"Environmental protection is a key issue for GAL
Here GAL because of the sociological dimension of environment"
502;Culture: Positive;"Need for state funding of cultural and leisure facilities including arts and sport. May  include:  - The need to fund museums, art galleries, libraries etc.;  - The need to encourage cultural mass media and worthwhile leisure activities,  such as public sport clubs.";NEUTRAL;NEUTRAL, because Culture can be TAN (Traditional Arts) but also GAL (Alternative/Modern Arts)
503;Equality: Positive;"Concept of social justice and the need for fair treatment of all people. This may include:  - Special protection for underprivileged social groups;  - Removal of class barriers;  - Need for fair distribution of resources;  - The end of discrimination (e.g. racial or sexual discrimination).";NEUTRAL;NEUTRAL, because 503 is a mixed category and does not allow for a distinction between LEFT and  GAL
504;Welfare State Expansion;Favourable mentions of need to introduce, maintain or expand any public social service  or social security scheme. This includes, for example, government funding of:  - Health care   - Elder care and pensions  - Child care  - Social housing;LEFT;LEFT advocates for comprehensive social security
505;Welfare State Limitation;Limiting state expenditures on social services or social security. Favourable mentions of  the social subsidiary principle (i.e. private care before state care).;RIGHT;RIGHT stands for individual economic responsibility
506;Education Expansion;Need to expand and/or improve educational provision at all levels.;NEUTRAL;Education in general can be GAL and TAN
507;Education Limitation;Limiting state expenditure on education. May include:  - The introduction or expansion of study fees at all educational levels  - Increasing the number of private schools.;NEUTRAL;Education in general can be GAL and TAN
601;National Way of Life: Positive;"Favourable mentions of the manifesto country's nation, history, and general appeals.  May include:  - Support for established national ideas;  - General appeals to pride of citizenship;  - Appeals to patriotism;  - Appeals to nationalism;  - Suspension of some freedoms in order to protect the state against subversion. ";TAN;TAN has a positive attitude toward the country's history and its traditions
602;National Way of Life: Negative;"Unfavourable mentions of the manifesto country's nation and history. May include:  - Opposition to patriotism;  - Opposition to nationalism;  - Opposition to the existing national state, national pride, and national ideas. ";GAL;GAL has a negative attitude toward the country's history and its traditions
603;Traditional Morality: Positive;"Favourable mentions of traditional and/or religious moral values. May include:  - Prohibition, censorship and suppression of immorality and unseemly behaviour;  - Maintenance and stability of the traditional family as a value;  - Support for the role of religious institutions in state and society. ";TAN;TAN advocates for traditional values
604;Traditional Morality: Negative;"Opposition to traditional and/or religious moral values. May include:  - Support for divorce, abortion etc.;  - General support for modern family composition;  - Calls for the separation of church and state.";GAL;GAL advocates against traditional values
605;Law and Order: Positive;"Favourable mentions of strict law enforcement, and tougher actions against domestic  crime. Only refers to the enforcement of the status quo of the manifesto country's law  code. May include:  - Increasing support and resources for the police;  - Tougher attitudes in courts;  - Importance of internal security. ";TAN;TAN stands for a strong executive branch and consistent law enforcement
606;Civic Mindedness: Positive;"Appeals for national solidarity and the need for society to see itself as united. Calls for  solidarity with and help for fellow people, familiar and unfamiliar. May include:  - Favourable mention of the civil society;  - Decrying anti-social attitudes in times of crisis;  - Appeal for public spiritedness;  - Support for the public interest. ";NEUTRAL;"Depending on the context, it can refer to TAN (sense of national identity) or GAL (universal solidarity)
"
607;Multiculturalism: Positive;Favourable mentions of cultural diversity and cultural plurality within domestic  societies. May include the preservation of autonomy of religious, linguistic heritages  within the country including special educational provisions.;GAL;GAL advocates for a cosmopolitan and non-discriminatory society
608;Multiculturalism: Negative;The enforcement or encouragement of cultural integration. Appeals for cultural  homogeneity in society.;TAN;TAN speaks out against a heterogeneous society
701;Labour Groups: Positive;"Favourable references to all labour groups, the working class, and unemployed workers  in general. Support for trade unions and calls for the good treatment of all employees,  including:  - More jobs;   - Fair wages;   - Good working conditions;  - Pension provisions etc. ";LEFT;Support for the working class and labor unions is a key priority LEFT
702;Labour Groups: Negative;"Negative references to labour groups and trade unions. May focus specifically on the  danger of unions ""abusing power"". ";RIGHT;RIGHT opposes giving preferential treatment to the working class
703;Agriculture and Farmers: Positive;Specific policies in favour of agriculture and farmers. Includes all types of agriculture  and farming practices. Only statements that have agriculture as the key goal should be included in this category.;NEUTRAL;Support for agriculture is often a core issue for TAN, but it is not included in the definition
704;Middle Class and Professional Groups: Positive;"General favourable references to the middle class. Specifically, statements may include  references to:  - Professional groups, (e.g.: doctors or lawyers);  - White collar groups, (e.g.: bankers or office employees),  - Service sector groups (e.g.: IT industry employees);  - Old and/or new middle class.";NEUTRAL;Middle Class is an important clientele for GAL-TAN and RIGHT, so here it is presented NEUTRALly
705;Underprivileged Minority Groups;Very general favourable references to underprivileged minorities who are defined  neither in economic nor in demographic terms (e.g. the handicapped, homosexuals,  immigrants).;GAL;GAL advocates for a cosmopolitan and non-discriminatory society
706;Non-Economic Demographic Groups: Positive;"General favourable mentions of demographically defined special interest groups of all  kinds. They may include:  - Women;  - University students;  - Old, young, or middle aged people. ";GAL;GAL advocates for a cosmopolitan and non-discriminatory society
