manifesto_id,year,party,party_id,row_idx,berta_top1,berta_ranked,gal_tan_spektrum
41112.016.1990.1.1,1990,Bündnis 90,41112,24,410,"[""410"", ""601"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,25,410,"[""410"", ""402"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,26,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,27,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,28,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,29,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,30,416,"[""416"", ""501"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,31,416,"[""416"", ""501"", ""603""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,32,201,"[""201"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,33,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,34,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,35,501,"[""501"", ""416"", ""305""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,36,416,"[""416"", ""501"", ""305""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,37,416,"[""416"", ""501"", ""305""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,38,416,"[""416"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,39,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,40,501,"[""501"", ""416"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,41,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,42,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,43,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,44,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,45,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,46,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,47,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,48,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,49,416,"[""416"", ""501"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,50,501,"[""501"", ""416"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,51,501,"[""501"", ""416"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,52,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,53,416,"[""416"", ""501"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,54,501,"[""501"", ""301"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,55,301,"[""301"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,56,501,"[""501"", ""301"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,57,403,"[""403"", ""301"", ""501""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,58,301,"[""301"", ""501"", ""302""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,59,301,"[""301"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,60,501,"[""501"", ""403"", ""506""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,61,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,62,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,63,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,64,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,65,501,"[""501"", ""416"", ""603""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,66,501,"[""501"", ""603"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,67,501,"[""501"", ""416"", ""502""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,68,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,69,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,70,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,71,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,72,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,73,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,74,501,"[""501"", ""416"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,75,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,76,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,77,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,78,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,79,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,80,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,81,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,82,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,83,501,"[""501"", ""416"", ""302""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,84,501,"[""501"", ""416"", ""301""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,85,501,"[""501"", ""416"", ""301""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,86,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,87,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,88,501,"[""501"", ""416"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,89,501,"[""501"", ""301"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,90,501,"[""501"", ""416"", ""301""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,91,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,92,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,93,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,94,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,95,501,"[""501"", ""416"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,96,501,"[""501"", ""416"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,97,501,"[""501"", ""416"", ""301""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,98,501,"[""501"", ""305"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,99,501,"[""501"", ""305"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,100,501,"[""501"", ""411"", ""303""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,101,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,102,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,103,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,104,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,105,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,106,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,107,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,108,411,"[""411"", ""305"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,109,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,110,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,111,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,112,501,"[""501"", ""411"", ""502""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,113,411,"[""411"", ""706"", ""503""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,114,411,"[""411"", ""706"", ""705""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,115,411,"[""411"", ""502"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,116,411,"[""411"", ""501"", ""502""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,117,705,"[""705"", ""411"", ""706""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,118,411,"[""411"", ""705"", ""503""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,119,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,120,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,121,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,122,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,123,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,124,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,125,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,126,411,"[""411"", ""501"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,127,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,128,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,129,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,130,411,"[""411"", ""705"", ""503""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,131,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,132,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,133,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,134,411,"[""411"", ""416"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,135,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,136,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,137,411,"[""411"", ""303"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,138,411,"[""411"", ""202"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,139,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,140,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,141,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,142,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,143,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,144,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,145,706,"[""706"", ""411"", ""503""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,146,411,"[""411"", ""706"", ""503""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,147,411,"[""411"", ""301"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,148,411,"[""411"", ""301"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,149,411,"[""411"", ""301"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,150,411,"[""411"", ""501"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,151,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,152,411,"[""411"", ""413"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,153,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,154,411,"[""411"", ""303"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,155,411,"[""411"", ""301"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,156,301,"[""301"", ""411"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,157,411,"[""411"", ""301"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,158,411,"[""411"", ""301"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,159,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,160,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,161,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,162,411,"[""411"", ""503"", ""403""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,163,411,"[""411"", ""501"", ""108""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,164,411,"[""411"", ""501"", ""108""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,165,411,"[""411"", ""501"", ""504""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,166,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,167,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,168,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,169,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,170,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,171,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,172,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,173,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,174,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,175,411,"[""411"", ""501"", ""403""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,176,411,"[""411"", ""501"", ""403""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,177,501,"[""501"", ""411"", ""605""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,178,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,179,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,180,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,181,411,"[""411"", ""501"", ""410""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,182,411,"[""411"", ""305"", ""605""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,183,411,"[""411"", ""301"", ""305""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,184,411,"[""411"", ""301"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,185,411,"[""411"", ""501"", ""605""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,186,706,"[""706"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,187,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,188,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,189,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,190,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,191,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,192,503,"[""503"", ""706"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,193,503,"[""503"", ""706"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,194,706,"[""706"", ""503"", ""202""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,195,706,"[""706"", ""503"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,196,411,"[""411"", ""107"", ""108""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,197,411,"[""411"", ""501"", ""108""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,198,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,199,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,200,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,201,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,202,502,"[""502"", ""411"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,203,502,"[""502"", ""501"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,204,416,"[""416"", ""501"", ""502""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,205,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,206,411,"[""411"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,207,411,"[""411"", ""408"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,208,411,"[""411"", ""303"", ""202""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,209,411,"[""411"", ""303"", ""202""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,210,411,"[""411"", ""408"", ""404""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,211,411,"[""411"", ""606"", ""202""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,212,411,"[""411"", ""606"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,213,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,214,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,215,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,216,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,217,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,218,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,219,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,220,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,221,501,"[""501"", ""416"", ""703""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,222,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,223,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,224,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,225,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,226,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,227,501,"[""501"", ""416"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,228,403,"[""403"", ""412"", ""504""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,229,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,230,501,"[""501"", ""416"", ""402""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,231,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,232,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,233,501,"[""501"", ""504"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,234,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,235,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,236,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,237,202,"[""202"", ""501"", ""304""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,238,403,"[""403"", ""202"", ""303""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,239,403,"[""403"", ""501"", ""413""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,240,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,241,501,"[""501"", ""202"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,242,501,"[""501"", ""606"", ""202""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,243,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,244,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,245,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,246,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,247,501,"[""501"", ""301"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,248,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,249,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,250,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,251,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,252,501,"[""501"", ""416"", ""502""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,253,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,254,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,255,501,"[""501"", ""703"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,256,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,257,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,258,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,259,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,260,501,"[""501"", ""416"", ""605""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,261,411,"[""411"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,262,416,"[""416"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,263,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,264,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,265,501,"[""501"", ""416"", ""703""]",GAL
